Location,Count,Timestamp
Rockland,22,2020-03-17 20:28:21
Rockland,22,2020-03-18 05:18:04
Rockland,30,2020-03-18 20:27:28
Rockland,30,2020-03-19 02:05:01
Rockland,53,2020-03-19 17:56:54
Rockland,53,2020-03-20 13:21:52
Rockland,101,2020-03-20 19:36:17
Saratoga,2,2020-03-08 19:23:56
Saratoga,2,2020-03-09 21:07:28
Saratoga,2,2020-03-10 00:25:59
Saratoga,2,2020-03-10 18:27:08
Saratoga,2,2020-03-11 03:02:16
Saratoga,2,2020-03-11 14:13:15
Saratoga,2,2020-03-11 20:01:35
Saratoga,2,2020-03-12 00:20:09
Saratoga,3,2020-03-12 21:54:00
Saratoga,3,2020-03-13 20:01:24
Saratoga,3,2020-03-14 03:19:05
Saratoga,3,2020-03-14 15:33:50
Saratoga,3,2020-03-14 18:51:54
Saratoga,3,2020-03-14 22:31:39
Saratoga,3,2020-03-15 02:22:39
Saratoga,3,2020-03-15 15:52:37
Saratoga,3,2020-03-15 19:58:05
Saratoga,9,2020-03-17 16:40:43
Saratoga,9,2020-03-17 18:00:34
Saratoga,9,2020-03-17 19:49:33
Saratoga,9,2020-03-17 20:28:21
Saratoga,9,2020-03-18 05:18:04
Saratoga,14,2020-03-18 20:27:28
Saratoga,14,2020-03-19 02:05:01
Saratoga,18,2020-03-19 17:56:54
Saratoga,18,2020-03-20 13:21:52
Saratoga,24,2020-03-20 19:36:17
Schenectady,1,2020-03-13 20:01:24
Schenectady,1,2020-03-14 03:19:05
Schenectady,1,2020-03-14 15:33:50
Schenectady,1,2020-03-14 18:51:54
Schenectady,1,2020-03-14 22:31:39
Schenectady,1,2020-03-15 02:22:39
Schenectady,1,2020-03-15 15:52:37
Schenectady,2,2020-03-15 19:58:05
Schenectady,5,2020-03-17 16:40:43
Schenectady,5,2020-03-17 18:00:34
Schenectady,5,2020-03-17 19:49:33
Schenectady,5,2020-03-17 20:28:21
Schenectady,5,2020-03-18 05:18:04
Schenectady,14,2020-03-18 20:27:28
Schenectady,14,2020-03-19 02:05:01
Schenectady,18,2020-03-19 17:56:54
Schenectady,18,2020-03-20 13:21:52
Schenectady,21,2020-03-20 19:36:17
Schoharie,1,2020-03-19 17:56:54
Schoharie,1,2020-03-20 13:21:52
Schoharie,1,2020-03-20 19:36:17
Suffolk,1,2020-03-08 19:23:56
Suffolk,1,2020-03-09 21:07:28
Suffolk,1,2020-03-10 00:25:59
Suffolk,1,2020-03-10 18:27:08
Suffolk,1,2020-03-11 03:02:16
Suffolk,1,2020-03-11 14:13:15
Suffolk,6,2020-03-11 20:01:35
Suffolk,6,2020-03-12 00:20:09
Suffolk,20,2020-03-12 21:54:00
Suffolk,28,2020-03-13 20:01:24
Suffolk,28,2020-03-14 03:19:05
Suffolk,28,2020-03-14 15:33:50
Suffolk,33,2020-03-14 18:51:54
Suffolk,33,2020-03-14 22:31:39
Suffolk,41,2020-03-15 02:22:39
Suffolk,41,2020-03-15 15:52:37
Suffolk,47,2020-03-15 19:58:05
Suffolk,84,2020-03-17 16:40:43
Suffolk,84,2020-03-17 18:00:34
Suffolk,84,2020-03-17 19:49:33
Suffolk,84,2020-03-17 20:28:21
Suffolk,84,2020-03-18 05:18:04
Suffolk,116,2020-03-18 20:27:28
Suffolk,116,2020-03-19 02:05:01
Suffolk,178,2020-03-19 17:56:54
Suffolk,178,2020-03-20 13:21:52
Suffolk,371,2020-03-20 19:36:17
Sullivan,1,2020-03-17 16:40:43
Sullivan,1,2020-03-17 18:00:34
Sullivan,1,2020-03-17 19:49:33
Sullivan,1,2020-03-17 20:28:21
Sullivan,1,2020-03-18 05:18:04
Sullivan,1,2020-03-18 20:27:28
Sullivan,1,2020-03-19 02:05:01
Sullivan,3,2020-03-19 17:56:54
Sullivan,3,2020-03-20 13:21:52
Sullivan,8,2020-03-20 19:36:17
Tioga,1,2020-03-14 18:51:54
Tioga,1,2020-03-14 22:31:39
Tioga,1,2020-03-15 02:22:39
Tioga,1,2020-03-15 15:52:37
Tioga,1,2020-03-15 19:58:05
Tioga,1,2020-03-17 16:40:43
Tioga,1,2020-03-17 18:00:34
Tioga,1,2020-03-17 19:49:33
Tioga,1,2020-03-17 20:28:21
Tioga,1,2020-03-18 05:18:04
Tioga,1,2020-03-18 20:27:28
Tioga,1,2020-03-19 02:05:01
Tioga,1,2020-03-19 17:56:54
Tioga,1,2020-03-20 13:21:52
Tioga,1,2020-03-20 19:36:17
Tompkins,1,2020-03-14 18:51:54
Tompkins,1,2020-03-14 22:31:39
Tompkins,1,2020-03-15 02:22:39
Tompkins,1,2020-03-15 15:52:37
Tompkins,1,2020-03-15 19:58:05
Tompkins,2,2020-03-17 16:40:43
Tompkins,2,2020-03-17 18:00:34
Tompkins,2,2020-03-17 19:49:33
Tompkins,2,2020-03-17 20:28:21
Tompkins,2,2020-03-18 05:18:04
Tompkins,3,2020-03-18 20:27:28
Tompkins,3,2020-03-19 02:05:01
Tompkins,6,2020-03-19 17:56:54
Tompkins,6,2020-03-20 13:21:52
Tompkins,7,2020-03-20 19:36:17
Total Number of Positive Cases,105,2020-03-08 19:23:56
Total Number of Positive Cases,142,2020-03-09 21:07:28
Total Number of Positive Cases,142,2020-03-10 00:25:59
Total Number of Positive Cases,173,2020-03-10 18:27:08
Total Number of Positive Cases,173,2020-03-11 03:02:16
Total Number of Positive Cases,173,2020-03-11 14:13:15
Total Number of Positive Cases,216,2020-03-11 20:01:35
Total Number of Positive Cases,216,2020-03-12 00:20:09
Total Number of Positive Cases,325,2020-03-12 21:54:00
Total Number of Positive Cases,421,2020-03-13 20:01:24
Total Number of Positive Cases,421,2020-03-14 03:19:05
Total Number of Positive Cases,421,2020-03-14 15:33:50
Total Number of Positive Cases,524,2020-03-14 18:51:54
Total Number of Positive Cases,524,2020-03-14 22:31:39
Total Number of Positive Cases,613,2020-03-15 02:22:39
Total Number of Positive Cases,613,2020-03-15 15:52:37
Total Number of Positive Cases,729,2020-03-15 19:58:05
Total Number of Positive Cases,"1,374",2020-03-17 16:40:43
Total Number of Positive Cases,"1,374",2020-03-17 18:00:34
Total Number of Positive Cases,"1,374",2020-03-17 19:49:33
Total Number of Positive Cases,"1,374",2020-03-17 20:28:21
Total Number of Positive Cases,"1,374",2020-03-18 05:18:04
Total Number of Positive Cases,"2,382",2020-03-18 20:27:28
Total Number of Positive Cases,"2,382",2020-03-19 02:05:01
Total Number of Positive Cases,"4,152",2020-03-19 17:56:54
Total Number of Positive Cases,"4,152",2020-03-20 13:21:52
Total Number of Positive Cases,"7,102",2020-03-20 19:36:17
Ulster,1,2020-03-08 19:23:56
Ulster,1,2020-03-09 21:07:28
Ulster,1,2020-03-10 00:25:59
Ulster,1,2020-03-10 18:27:08
Ulster,1,2020-03-11 03:02:16
Ulster,1,2020-03-11 14:13:15
Ulster,1,2020-03-11 20:01:35
Ulster,1,2020-03-12 00:20:09
Ulster,4,2020-03-12 21:54:00
Ulster,5,2020-03-13 20:01:24
Ulster,5,2020-03-14 03:19:05
Ulster,5,2020-03-14 15:33:50
Ulster,5,2020-03-14 18:51:54
Ulster,5,2020-03-14 22:31:39
Ulster,5,2020-03-15 02:22:39
Ulster,5,2020-03-15 15:52:37
Ulster,5,2020-03-15 19:58:05
Ulster,8,2020-03-17 16:40:43
Ulster,8,2020-03-17 18:00:34
Ulster,8,2020-03-17 19:49:33
Ulster,8,2020-03-17 20:28:21
Ulster,8,2020-03-18 05:18:04
Ulster,9,2020-03-18 20:27:28
Ulster,9,2020-03-19 02:05:01
Ulster,10,2020-03-19 17:56:54
Ulster,10,2020-03-20 13:21:52
Ulster,12,2020-03-20 19:36:17
Warren,1,2020-03-18 20:27:28
Warren,1,2020-03-19 02:05:01
Warren,1,2020-03-19 17:56:54
Warren,1,2020-03-20 13:21:52
Warren,1,2020-03-20 19:36:17
Washington,1,2020-03-18 20:27:28
Washington,1,2020-03-19 02:05:01
Washington,1,2020-03-19 17:56:54
Washington,1,2020-03-20 13:21:52
Washington,1,2020-03-20 19:36:17
Wayne,1,2020-03-19 17:56:54
